Ambient light color: Red=0.039216 Green=0.039216 Blue=0.039216

Named object: "Object01"
Tri-mesh, Vertices: 512     Faces: 1024
Vertex list:
Vertex 0:  X: -99.192619     Y: 226.066895     Z: -0.00002
Vertex 184:  X: 85.651382     Y: 113.710915     Z: 0.000003
Vertex 185:  X: 88.54084     Y: 114.434151     Z: -14.97443
Vertex 186:  X: 96.769325     Y: 116.493752     Z: -27.669144
Vertex 187:  X: 109.084137     Y: 119.576172     Z: -36.151485
Vertex 188:  X: 123.610443     Y: 123.212135     Z: -39.130089
Vertex 189:  X: 138.136749     Y: 126.848091     Z: -36.151489
Vertex 190:  X: 150.451569     Y: 129.930527     Z: -27.669146
Vertex 191:  X: 158.680054     Y: 131.990128     Z: -14.974424
Vertex 192:  X: 133.794586     Y: 191.464966     Z: -0.000015
Vertex 193:  X: 131.40184     Y: 189.691025     Z: 14.974422
Vertex 194:  X: 124.587891     Y: 184.639282     Z: 27.669136
Vertex 195:  X: 114.390083     Y: 177.078827     Z: 36.151474
Vertex 196:  X: 102.360954     Y: 168.16066     Z: 39.130077
Vertex 197:  X: 90.331818     Y: 159.242493     Z: 36.151474
Vertex 198:  X: 80.134018     Y: 151.682037     Z: 27.669142
Vertex 199:  X: 73.320061     Y: 146.630295     Z: 14.97443
Vertex 200:  X: 70.927315     Y: 144.856369     Z: -0.000002
Vertex 201:  X: 73.320053     Y: 146.630295     Z: -14.974436
Vertex 202:  X: 80.13401     Y: 151.682037     Z: -27.669147
Vertex 203:  X: 90.331818     Y: 159.242477     Z: -36.151493
Vertex 204:  X: 102.360954     Y: 168.160645     Z: -39.130096
Vertex 205:  X: 114.390091     Y: 177.078812     Z: -36.151493
Vertex 206:  X: 124.587898     Y: 184.639282     Z: -27.669155
Vertex 207:  X: 131.401855     Y: 189.691025     Z: -14.974432
Vertex 208:  X: 85.650635     Y: 235.115356     Z: -0.000021
Vertex 209:  X: 84.118889     Y: 232.560791     Z: 14.974415
Vertex 210:  X: 79.756828     Y: 225.286011     Z: 27.66913
Vertex 211:  X: 73.228546     Y: 214.398529     Z: 36.15147
Vertex 212:  X: 65.527916     Y: 201.555847     Z: 39.130074
Vertex 213:  X: 57.827286     Y: 188.713196     Z: 36.15147
Vertex 214:  X: 51.299004     Y: 177.825714     Z: 27.669136
Vertex 215:  X: 46.936947     Y: 170.550919     Z: 14.974427
Vertex 216:  X: 45.405197     Y: 167.996353     Z: -0.000005
Vertex 217:  X: 46.936947     Y: 170.550919     Z: -14.974439
Vertex 218:  X: 51.299     Y: 177.825684     Z: -27.669153
Vertex 219:  X: 57.827282     Y: 188.713165     Z: -36.151497
Vertex 220:  X: 65.527916     Y: 201.555832     Z: -39.1301
Vertex 221:  X: 73.228554     Y: 214.398514     Z: -36.151501
Vertex 222:  X: 79.756836     Y: 225.285995     Z: -27.669161
Vertex 223:  X: 84.118889     Y: 232.560776     Z: -14.974439
Vertex 224:  X: 24.46714     Y: 257.019135     Z: -0.000024
Vertex 225:  X: 24.029575     Y: 254.072845     Z: 14.974412
Vertex 226:  X: 22.783503     Y: 245.682556     Z: 27.669127
Vertex 227:  X: 20.918619     Y: 233.125549     Z: 36.151466
Vertex 228:  X: 18.718842     Y: 218.313568     Z: 39.13007
Vertex 229:  X: 16.519062     Y: 203.501587     Z: 36.15147
Vertex 230:  X: 14.654181     Y: 190.944611     Z: 27.669134
Vertex 231:  X: 13.408107     Y: 182.554291     Z: 14.974425
Vertex 232:  X: 12.970543     Y: 179.608002     Z: -0.000007
Vertex 233:  X: 13.408106     Y: 182.554291     Z: -14.974441
Vertex 234:  X: 14.65418     Y: 190.944595     Z: -27.669155
Vertex 235:  X: 16.519062     Y: 203.501572     Z: -36.151497
Vertex 236:  X: 18.718842     Y: 218.313553     Z: -39.130104
Vertex 237:  X: 20.918621     Y: 233.125534     Z: -36.151501
Vertex 238:  X: 22.783503     Y: 245.682541     Z: -27.669163

                                     Page 4



Vertex 239:  X: 24.029577     Y: 254.072861     Z: -14.974442
Vertex 240:  X: -40.441261     Y: 253.841705     Z: -0.000024
Vertex 241:  X: -39.718021     Y: 250.95224     Z: 14.974413
Vertex 242:  X: -37.658409     Y: 242.723755     Z: 27.669128
Vertex 243:  X: -34.575981     Y: 230.408936     Z: 36.15147
Vertex 244:  X: -30.94001     Y: 215.882629     Z: 39.13007
Vertex 245:  X: -27.304039     Y: 201.356323     Z: 36.15147
Vertex 246:  X: -24.221613     Y: 189.041534     Z: 27.669134
Vertex 247:  X: -22.162001     Y: 180.813049     Z: 14.974426
Vertex 248:  X: -21.438761     Y: 177.923584     Z: -0.000007
Vertex 249:  X: -22.161999     Y: 180.813049     Z: -14.974441
Vertex 250:  X: -24.221611     Y: 189.041504     Z: -27.669155
Vertex 251:  X: -27.304039     Y: 201.356308     Z: -36.151497
Vertex 252:  X: -30.940012     Y: 215.882614     Z: -39.130104
Vertex 253:  X: -34.575985     Y: 230.40892     Z: -36.151501
Vertex 254:  X: -37.658413     Y: 242.72374     Z: -27.669163
Vertex 255:  X: -39.718025     Y: 250.952225     Z: -14.974441
Vertex 256:  X: -3.744166     Y: 50.84124     Z: 190.711624
Vertex 257:  X: 8.661436     Y: 49.304207     Z: 188.848938
Vertex 258:  X: 19.198971     Y: 44.977974     Z: 183.373962
Vertex 259:  X: 26.264196     Y: 38.521187     Z: 175.12027
Vertex 260:  X: 28.7815     Y: 30.916832     Z: 165.344376
Vertex 261:  X: 26.367643     Y: 23.322603     Z: 155.534576
Vertex 262:  X: 19.390108     Y: 16.89464     Z: 147.184341
Vertex 263:  X: 8.911171     Y: 12.611558     Z: 141.564896
Vertex 264:  X: -3.473847     Y: 11.125428     Z: 139.531769
Vertex 265:  X: -15.879449     Y: 12.662461     Z: 141.39447
Vertex 266:  X: -26.416985     Y: 16.98868     Z: 146.869431
Vertex 267:  X: -33.482216     Y: 23.445467     Z: 155.123123
Vertex 268:  X: -35.999519     Y: 31.049828     Z: 164.899017
Vertex 269:  X: -33.585655     Y: 38.644066     Z: 174.708817
Vertex 270:  X: -26.608126     Y: 45.072014     Z: 183.059067
Vertex 271:  X: -16.129177     Y: 49.355095     Z: 188.678497
Vertex 272:  X: -4.168803     Y: -26.512711     Z: 229.380432
Vertex 273:  X: 8.241518     Y: -27.189255     Z: 227.08757
Vertex 274:  X: 18.792505     Y: -29.064959     Z: 220.387619
Vertex 275:  X: 25.877867     Y: -31.854296     Z: 210.300568
Vertex 276:  X: 28.418921     Y: -35.132587     Z: 198.362106
Vertex 277:  X: 26.028807     Y: -38.400761     Z: 186.389755
Vertex 278:  X: 19.071413     Y: -41.161263     Z: 176.206161
Vertex 279:  X: 8.605921     Y: -42.993843     Z: 169.361725
Vertex 280:  X: -3.774371     Y: -43.619469     Z: 166.898438
Vertex 281:  X: -16.184692     Y: -42.94294     Z: 169.191299
Vertex 282:  X: -26.73568     Y: -41.067223     Z: 175.891251
Vertex 283:  X: -33.821041     Y: -38.277882     Z: 185.978302
Vertex 284:  X: -36.362103     Y: -34.999592     Z: 197.916748
Vertex 285:  X: -33.971985     Y: -31.731417     Z: 209.88913
Vertex 286:  X: -27.014584     Y: -28.970919     Z: 220.072708
Vertex 287:  X: -16.549088     Y: -27.138351     Z: 226.917145
Vertex 288:  X: -4.38799     Y: -112.777107     Z: 235.50412
Vertex 289:  X: 8.024771     Y: -112.493996     Z: 233.143143
Vertex 290:  X: 18.582701     Y: -111.636909     Z: 226.249176
Vertex 291:  X: 25.678453     Y: -110.336349     Z: 215.871796
Vertex 292:  X: 28.231764     Y: -108.790268     Z: 203.590866
Vertex 293:  X: 25.853918     Y: -107.234085     Z: 191.276031
Vertex 294:  X: 18.906897     Y: -105.904648     Z: 180.802124
Vertex 295:  X: 8.448368     Y: -105.00444     Z: 173.763702
Vertex 296:  X: -3.929493     Y: -104.670425     Z: 171.232285
Vertex 297:  X: -16.342251     Y: -104.953537     Z: 173.593262
Vertex 298:  X: -26.900183     Y: -105.810593     Z: 180.487213
Vertex 299:  X: -33.995941     Y: -107.111191     Z: 190.864578

                                     Page 5



Vertex 300:  X: -36.549255     Y: -108.657303     Z: 203.145508
Vertex 301:  X: -34.171394     Y: -110.213486     Z: 215.460358
Vertex 302:  X: -27.224392     Y: -111.542885     Z: 225.934265
Vertex 303:  X: -16.765835     Y: -112.443092     Z: 232.972702
Vertex 304:  X: -4.368368     Y: -194.819016     Z: 208.15036
Vertex 305:  X: 8.044176     Y: -193.623245     Z: 206.093674
Vertex 306:  X: 18.601492     Y: -190.16716     Z: 200.066284
Vertex 307:  X: 25.696314     Y: -184.976852     Z: 190.985779
Vertex 308:  X: 28.248526     Y: -178.842545     Z: 180.234604
Vertex 309:  X: 25.869574     Y: -172.698105     Z: 169.449554
Vertex 310:  X: 18.921635     Y: -167.478958     Z: 160.272522
Vertex 311:  X: 8.462477     Y: -163.979721     Z: 154.100647
Vertex 312:  X: -3.915599     Y: -162.733078     Z: 151.873505
Vertex 313:  X: -16.328144     Y: -163.928818     Z: 153.930206
Vertex 314:  X: -26.88546     Y: -167.384933     Z: 159.957596
Vertex 315:  X: -33.980282     Y: -172.575241     Z: 169.038101
Vertex 316:  X: -36.532501     Y: -178.709549     Z: 179.789246
Vertex 317:  X: -34.153542     Y: -184.853989     Z: 190.574341
Vertex 318:  X: -27.205605     Y: -190.073105     Z: 199.751358
Vertex 319:  X: -16.746429     Y: -193.572372     Z: 205.923248
Vertex 320:  X: -4.112908     Y: -260.148193     Z: 151.483536
Vertex 321:  X: 8.296793     Y: -258.225708     Z: 150.05719
Vertex 322:  X: 18.84601     Y: -252.700027     Z: 145.824951
Vertex 323:  X: 25.928717     Y: -244.412369     Z: 139.431122
Vertex 324:  X: 28.46665     Y: -234.624527     Z: 131.84906
Vertex 325:  X: 26.073408     Y: -224.826492     Z: 124.233154
Vertex 326:  X: 19.113367     Y: -216.510025     Z: 117.742767
Vertex 327:  X: 8.646107     Y: -210.941177     Z: 113.366051
Vertex 328:  X: -3.734814     Y: -208.967789     Z: 111.769279
Vertex 329:  X: -16.144514     Y: -210.890274     Z: 113.195625
Vertex 330:  X: -26.693726     Y: -216.41597     Z: 117.427841
Vertex 331:  X: -33.776447     Y: -224.703629     Z: 123.821701
Vertex 332:  X: -36.314369     Y: -234.491531     Z: 131.403702
Vertex 333:  X: -33.921127     Y: -244.289505     Z: 139.019669
Vertex 334:  X: -26.961082     Y: -252.605972     Z: 145.510056
Vertex 335:  X: -16.493814     Y: -258.174805     Z: 149.88678
Vertex 336:  X: -3.660517     Y: -298.818939     Z: 74.130638
Vertex 337:  X: 8.74415     Y: -296.466339     Z: 73.564781
Vertex 338:  X: 19.279045     Y: -289.715546     Z: 71.783012
Vertex 339:  X: 26.340307     Y: -279.594452     Z: 69.056572
Vertex 340:  X: 28.852926     Y: -267.64389     Z: 65.800529
Vertex 341:  X: 26.434393     Y: -255.683197     Z: 62.510635
Vertex 342:  X: 19.452902     Y: -245.533295     Z: 59.687668
Vertex 343:  X: 8.9713     Y: -238.73941     Z: 57.761398
Vertex 344:  X: -3.414645     Y: -236.335846     Z: 57.025131
Vertex 345:  X: -15.819319     Y: -238.688507     Z: 57.590958
Vertex 346:  X: -26.354193     Y: -245.43924     Z: 59.372757
Vertex 347:  X: -33.415459     Y: -255.560333     Z: 62.099197
Vertex 348:  X: -35.928097     Y: -267.510956     Z: 65.355186
Vertex 349:  X: -33.509544     Y: -279.471649     Z: 68.645164
Vertex 350:  X: -26.528048     Y: -289.621552     Z: 71.468102
Vertex 351:  X: -16.046448     Y: -296.415436     Z: 73.394341
Vertex 352:  X: -3.080057     Y: -304.943939     Z: -12.132051
Vertex 353:  X: 9.318155     Y: -302.523163     Z: -11.738283
Vertex 354:  X: 19.834658     Y: -295.578339     Z: -10.787296
Vertex 355:  X: 26.868391     Y: -285.166901     Z: -9.423924
Vertex 356:  X: 29.348547     Y: -272.873749     Z: -7.855628
Vertex 357:  X: 26.897551     Y: -260.570526     Z: -6.321298
Vertex 358:  X: 19.888527     Y: -250.130219     Z: -5.054484
Vertex 359:  X: 9.388556     Y: -243.142303     Z: -4.247936
Vertex 360:  X: -3.00385     Y: -240.670624     Z: -4.024609

                                     Page 6



Vertex 361:  X: -15.40205     Y: -243.0914     Z: -4.418377
Vertex 362:  X: -25.918552     Y: -250.036224     Z: -5.369395
Vertex 363:  X: -32.952286     Y: -260.447662     Z: -6.732736
Vertex 364:  X: -35.432457     Y: -272.740814     Z: -8.301032
Vertex 365:  X: -32.981461     Y: -285.044037     Z: -9.835362
Vertex 366:  X: -25.972435     Y: -295.484283     Z: -11.102177
Vertex 367:  X: -15.472451     Y: -302.47226     Z: -11.908724
Vertex 368:  X: -2.459905     Y: -277.590729     Z: -94.171783
Vertex 369:  X: 9.93141     Y: -275.474152     Z: -92.865356
Vertex 370:  X: 20.428261     Y: -269.395905     Z: -89.31543
Vertex 371:  X: 27.4326     Y: -260.281342     Z: -84.062439
Vertex 372:  X: 29.878073     Y: -249.517929     Z: -77.906067
Vertex 373:  X: 27.392401     Y: -238.744431     Z: -71.783607
Vertex 374:  X: 20.353977     Y: -229.601059     Z: -66.627174
Vertex 375:  X: 9.834356     Y: -223.47966     Z: -63.221722
Vertex 376:  X: -2.56495     Y: -221.312241     Z: -62.085735
Vertex 377:  X: -14.956264     Y: -223.428757     Z: -63.392132
Vertex 378:  X: -25.453102     Y: -229.507004     Z: -66.942085
Vertex 379:  X: -32.457458     Y: -238.621567     Z: -72.195045
Vertex 380:  X: -34.902927     Y: -249.384995     Z: -78.35141
Vertex 381:  X: -32.417252     Y: -260.158478     Z: -84.473877
Vertex 382:  X: -25.378832     Y: -269.301849     Z: -89.630341
Vertex 383:  X: -14.859198     Y: -275.423248     Z: -93.035797
Vertex 384:  X: -1.894459     Y: -220.923523     Z: -159.498764
Vertex 385:  X: 10.490553     Y: -219.437378     Z: -157.465622
Vertex 386:  X: 20.969482     Y: -215.154358     Z: -151.846207
Vertex 387:  X: 27.947012     Y: -208.726318     Z: -143.495926
Vertex 388:  X: 30.360868     Y: -201.132141     Z: -133.686172
Vertex 389:  X: 27.84358     Y: -193.527817     Z: -123.910225
Vertex 390:  X: 20.778353     Y: -187.07103     Z: -115.65657
Vertex 391:  X: 10.240824     Y: -182.744797     Z: -110.181564
Vertex 392:  X: -2.164785     Y: -181.207779     Z: -108.318863
Vertex 393:  X: -14.549797     Y: -182.693893     Z: -110.352005
Vertex 394:  X: -25.02874     Y: -186.976974     Z: -115.97142
Vertex 395:  X: -32.006271     Y: -193.404953     Z: -124.321732
Vertex 396:  X: -34.420128     Y: -200.999146     Z: -134.131516
Vertex 397:  X: -31.902828     Y: -208.603516     Z: -143.907394
Vertex 398:  X: -24.837599     Y: -215.060303     Z: -152.161118
Vertex 399:  X: -14.300055     Y: -219.386475     Z: -157.636032
Vertex 400:  X: -1.469821     Y: -143.569504     Z: -198.167526
Vertex 401:  X: 10.910456     Y: -142.943863     Z: -195.704208
Vertex 402:  X: 21.375948     Y: -141.111313     Z: -188.859787
Vertex 403:  X: 28.333357     Y: -138.350815     Z: -178.676193
