DICT Англо-русский словарик на 1665 слов
abandon|эбэндэн|покидать, отказывать
arm|аам|плечо, ручка, оружие
arrange|эрэйнж|выстраивать
arrival|эрайвэл|прибытие
arrow|ароу|стрелка
article|аатикл|статья
are|ааа|есть (мн. ч. глагола быть),суть
area|эдриэ|область, зона
argument|аагьюмэнт|аргумент
arise|эрайз|возникать, происходить
array|эрэй|массив, ряд
artificial|атифишиал|искусственный
ascend(ing)|эсэнд(инг)|всходить (возрастающий)
assign(ment)|эсайн(мэнт)|назначить (присвоение)
assembly|эсэмбли|сборка, комплектование
assess|эсес|оценивать
associated|эсоушэйтид|связанный, соответствующий
assume|эсьюм|предпологать, брать на себя
assure|эшуэ|уверять, гарантировать
asterisk|эстэриск|звездочка
attac|этэч|прикреплять, образовать
attain|этэйн|достигать, получать
attempt|этэмт|попытка
attend(ed)|этэнд(ид)|присутствовать (с оператором)
attention|этэншн|внимание
attract|этракт|притягивать, привлекать
attribute|этрибьют|характеристика
audio responce|аудио респонс|речевой ответ
author(ized)|офэ(райзд)|автор (санкционировать)
automatic|отэмэтик|автоматический
auxiliary|оогзилиэри|вспомогательный
augment|оогмент|увеличивать(ся)
avail(able)|эвейл(эбл)|польза, готовый (доступный)
avalance|авэланш|лавина, снежный обвал
average|авериду|средн.число, обычный
avert|эвээт|отвернуться, отводить
avoid|эвоид|избегать, уклоняться
aware|эвэд|знать
awkward|ооквод|неуклюжий, неудобный
axis|аксис|ось
babble|бэйбл|болтовня, наводки
back|бэк|назад, обратная сторона
background|бэкграунд|фон, фоновый
backing|бэкинг|поддержка, вспомогательный
backspace|бэкспейс|шаг назад
back(up)|бэк(ап)|назад,обрат.сторона(дублирующий)
backward|бэкуэдс|в обратном направлении
bake|бэйк|запекать, обжигать
balanced|бэлэнст|симметричность
band|банд|полоса, группа дорожек, диапозон
bank|банк|батарея
bar|баа|шина, стержень, блок
based|бэйст|базированный
basic(ally)|бэйсик(эли)|основной (по существу)
batch|бэтч|пакет, пачка
bath|бааф|ванна, баня
baud(ot)|боод(о)|бод|число сост.сигн. в сек(бодо)
bead|биид|цепочка ячеек
beam|биим|луч, пучок
because|бикоз|потому что
before|бифо|вперед, до, впереди
begin(ing)|бегин(инг)|начать (начальный)
behavio(u)r|бихэйвиэ|поведение, режим
bell|бэл|звонок
below|белоу|ниже
belt|белт|зона, пояс
benchmark|бенчмаак|опр.быстродействия в. системы
bend(ing)|бенд(инг)|гнуть (отклонение)
beyond|бийонд|сверх, кроме
bias|байэс|смещение
bid|бид|заявка, захват канала
bifurcated|бифьюкэйтэд|сдвоенный
billed charging|билдчаджинг|оплата кредита
bin|бин|приемник, карман
bind(er)|баинд(э)|присвоить, связывать (связка)
binary|байнери|двоичный
bit|бит|двоичный разряд
blank|блэнк|пробел, наносить поражение
blank coil|блэнк коил|чистый рулон
blind|блаинд|блокировать данные, слепой ввод
block(ing)|блок(инг)|группа (блокирование)
body|боди|основание, тело, в/ч
bond|бонд|связь, соединять
book|бук|сборник, покупать билет
bootstrap|бутстрэп|самообеспечивающийся
borrow|борроу|заем, отрицательный перенос
both(ered)|боуф(эрэд)|оба (беспокоиться)
bottleneck|ботлнек|узкое место, критич. параметр
bottom|ботэм|низ, дно, основание
bound(ary)|баунд(ари)|ограничивать (порог)
braces|брэсиз|круглые (фигурные) скобки
brackets|брэкитс|квадратные скобки
brain|брэйн|мозг
branch|брантч|переход, ветвь
branchpoint|брантчпоинт|точка ветвления
brass|браас|латунь
break(down)|брэйк(даун)|нарушение, вклинивание (пробой)
breakpoint|брэйкпоинт|точка прерывания
bridge|бридж|мост, перемычка
brief(ly)|брииф(ли)|краткий (кратко)
bright(ness)|брайт(нэс)|блестящий (яркость)
bring about|бринкэбаут|осуществлять
brush|браш|контрольный
buck|бак|дробить, самец, хвастать
bug|баг|дефект, тлг ключ
built|in|билтин|аппаратный, встроенный
buildup|билдап|нарастание
buffered|бафэд|с буфером
bulb|балб|баллон, лампа
bulk memory|балк мемэри|доп. память большого обьема
bunch|банч|пучек, собираться
buried|барид|подземный
bussback|басбак|соед. линии в кольцо
burst|бээст|пачка, взрыв, монопольный
bus|бас|провод, шина, автобус
bust this|баст зыс|исключить это
business|бизнис|дело, коммерческий
busy|бизи|занятый
button|батн|кнопка
by name|бай нэйм|по имени
by(pass)|бай(паас)|на (обходить)
by step|бай стэп|по шагам
byte|байт|байт
cable|кэйбл|кабель, телеграмма
cache|каш|запас, тайный склад
cage|кэйдж|клетка, сетка, лифт
calculation|калкьюлэйшн|вычисления
call(ing)|кол(инг)|вызов, разговор (вызывающий)
called party|колэд пати|вызываемая сторона (адресат)
camp|on|кэмп он|закрепление линии
can|кан|стакан, наушники
cancel|кэнсэл|исключить
capacity|кэпэсити|об'ем, емкость
capture|каптчз|захватывать, обл. захвата
card|каад|карта
carry(ier)|кари(э)|перенос (носитель, несущая)
carrier load|кэриэд лоуд|пропускная загрузка
carridge|кэридж|каретка, рама
cascaded|кэскэйдид|поразрядный
case|кейз|случай, ящик, корпус
cavity|кавити|полость, об'емный резонатор
cause|кооз|причина, вызывать
caw|сиэйдабл ю|адр. сл. канала
cc|сиси|признак результата
ccw|сисидабл ю|команда канала
cd|сиди|цепочка данных
cease|сиис|прекращать
cell|сэл|ячейка
center|сэнтэ|узел, станция
chad(ed)|чад(ид)|конфетти от перф. (перфорация)
chain(ing)|чейн(инг)|цепочка (связка)
chamber|чеймбэ|камера, палата
change|чейндж|изменять(ся)
channel|кэнэл|канал
character|кэрэктэ|символ
charge|чадж|заряд, обвинение
charm|чаам|обаяние, очаровывать
chart|чаат|схема, график
cheap|чиип|дешевый
check(ing)|чек(инг)|проверка (проверяя)
choos|чузи|выбирать
chunk|чанк|колода, чурбан
cipher|сайшэ|шифр, араб.цифра
circuit|сэкит|линия, цикл, цепь, схема
circumstance|сээкэмстэнс|обстоятельство
claim|клайм|вызов, требовать
clamp|кламр|скбл. соединять
class|клаас|класс, категория
clause|клооз|пункт
clean|клиин|очищать
clear|клиэ|чистый, раз'единять
cleave|клиив|остав.верным, расчленять
clip|клир|зажим, обрезать
clock(|units)|клок(юнитс)|таймер, ген.синхр. (ед.времени)
close(d shop)|клоуз(д шоп)|закрыть (вц без доступа польз.)
cluster|кластэ|пучек, кучка
cms|сиэмэс|диалоговая|упр.система
coalesce|коуэлэс|слияние, об'единение массивов
coam|сиоуэйэм|связь абонента им обслуживаемая
coast|коуст|берег
coat|коут|покрывать, пальто
cocr|сиоусид|упр. зап. пер. цилиндра
code(r)|коуд(кодэ)|код (шифратор)
coil|коил|катушка, кольцо
coincide(nce)|коуинсайд(энс)|совпадать (совпадение)
collaboration|колаборэйшн|сотрудничество
collate(or)|колэйт(э)|сличать (об'единитель)
collision|кэлижн|столкновение
colon|коулэн|двоеточие
column|колэн|колонка, столбец
comma(nd)|кома(комэнд)|запятая (оператор, команда)
common|комэн|общий
communication|коммьюникэйшн|связь
comparison|кэмпэрисн|сравнение
compatibility|компатибилити|совместимость
compilation|компилэйшн|трансляция
complement|комплимэнт|дополнение
complex|комплекс|комплексный
complete|комплит|полный, заканчивать
complicate|компликэйт|усложнять
compose|кэмпоуз|формировать
composition|композишн|состав
comprehend|комприхэнд|понимать, охватывать
comprehensive|комприхэнсив|всесторонний
computational|компьютэйшэнэл|для вычисления
comp(ute)|комп(ьют)|вычисления (вычислять)
concatenate|конкэтинэйт|связывать (в цепочку)
concept|консэпт|понятие
concern|кэнсээн|интерес, забота, касаться
concise|кэнссаиз|краткий
conclude|кэнклююд|заключать, делать вывод
concurrent|кэнкарент|совместный, совпадающий
condition|кондишн|условие, состояние
conductivity|кэндактивити|проводимость
confidentional|конфиденшел|секретный
configuration|конфигьюрэйшн|состав, конфигурация
conflicting|конфликтинг|несогласующийся
connect(ion)|коннэкт(шн)|соединять (включение)
connotation|коноутэйшн|сопутствующее значение
consecutive|кэнсэкьютив|непосредственно следующий
consent|кэнсэнт|согласие, разрешение
consequence|консэквэнс|значение
consider|кэнсидэ|считать, намечать
consciously|коншесли|сознательно
console|консоул|пульт
consumption|кэнсампшн|потребление, расход
contain|контэйн|содержать
contamination|кэнтаминэйшн|примесь, загрязнение
content(ion)|контэнт(шн)|содержание (соперничество)
continue|континью|продолжать
control|контрол|управление
controlled|контролд|управляемый
convenient|кэнвиниэнт|удобный
convention|кэнвеншн|соглашение, условный
conversational|конвесэйшинэл|диалоговый
conversion|конвешн|преобразование
convex|конвекс|выпуклый
cool(ant)|куул(энт)|прохлада (охладитедь)
copper|копэ|медь
copy|копи|копировать, копия
copyright|копирайт|авторское право
cord|коод|шнур
core|ко|ядро, сердечник
corner cut|коонэ кат|угловой срез
corrective|кэректив|ремонтный
corresponding|кориспондинг|соответствующий
corrupt|кэрапт|разрушение, стирание
could|куд|пр. вр.сап (мочь)
count|каунт|считать, счет
counterbalance|каунтэбэлэнс|уравновешивать
couple|капл|пара, эл. элемент
cpu|сипию|центральный процессор
create(ing)|криэйт(инг)|создавать (образуя)
crimbersome|кримбэсам|неловкий
critical|критикэл|критический
crop|кроп|урожай
cross|крос|перекрестный
crossbar|кроссба|координатный
crowd(ing)|крауд(инг)|толпа (заполнение)
cue|кью|реплика
curious|кьюэриэс|любопытный
currency(sign)|каренси(сайн)|валютный (знак)
current(date)|карэнт(дэйт)|протекающий (текущая дата)
cursor|касоо|указатель места знака в дисплее
curtate|кетэйн|слой (несколько строк на пк)
curve|кээв|кривая, изгиб
customer|кастэмэ|заказчик, покупатель
cut(off)|кат(оф)|срез (отсечка)
cycle|сайкл|цикл
cyl|сил|цилиндр
daisy|дэйзи|выбор, приоритет
damage|дэмидж|повреждение
damp(er)|дэмп(э)|сырость (глушитель)
in danger|ин деинджэ|в опасном положении
dasd|дасд|устройство с прямым доступом
dash|даш|напор, удар, тире, ринуться
data(set)|дэйте(сэт)|данные (набор данных)
data division|дэйтэ дивижэн|раздел данных
date|дэйт|дата
up|to|date|аптудэйт|новейший
dcb|дисиби|блок управления данными
dd|диди|определение данных
deal|диил|доля
dearth|дээф|недостаток
debug|дебаг|отлаживать
decay|дикей|затухание, гниение
decimal|дэсимэл|десятичный
decision|дисижн|решение
decisive|дисайсив|решающий, убедительный
deck|дэк|колода п/к
declaratives|диклэретивз|об'явление
declare|диклэа|об'явить
decollate|дэколэйт|разрезать по сгибам
decrease|дикрииз|уменьшать, понижение
dedication|дэдикэйшн|выделение
deep|диип|глубокий
default|дифоолт|безусловный, умолчание
defense|дифэнс|оборона
deferred|дифэд|отсроченный
define(d)|дифайн(д)|определить (|ленный)
definition|дифинишн|определение
deflection|дифлэкшн|отклонение
degree|дигрии|степень, градус, ученое звание
delay|дилей|задержка, запаздывание
deleave|дэлиив|разрезать бумагу
delete|дилит|исключать, удалять
delimiter|дэлимитэ|определитель, ограничитель
deliver|диливэ|подавать, питать
develop|дивелэп|развивать
demand|димаанд|запрос, требование
denote|диноут|означать, указывать
density|дэнсити|плотность
deny(ied)|динай(эд)|отрицать (отрицающий)
depending on|дипэндинг он|в зависимости от
depletion|диплиишн|об'единение, истощение
deposit|дипозит|осаждать, наносить
depth|депф|глубина, толщина
derivation|деривэйшн|ответвление
derive|дирайв|отводить, происходить от
descendance|дисэндэнс|спуск
descending|дисэндинг|нисходящий, убывание
describe|дискрайб|описывать
description|дискрипшн|описание
design(ation)|дизайн(эйшн)|проект (обозначение)
desirable|дизайэрэбл|желательно(|ный)
desire(d)|дизайэ(д)|желать, страсть (требуемый)
destination|дистинэйшн|назначение
destroy|дистрой|уничтожаться
destruction|дистракшн|разрушение
detach|дитач|отвязывать, отделять
detect|дитект|обнаруживать
determin tion|дитеминэйшн|определение
determine|дитемин|ограничивать
develop(ment)|дивелэп(мэнт)|совершенствовать (отладка)
deviation|дивиэйшн|отклонение
device|дивайс|устройство
dial|дайэл|диск, циферблат
dial exchange|дайэл эксчендж|а т с
dictionary|дикшэнэри|словарь
difference|дифрэнс|разница, разность
differentiation|дифэрэншиэйшн|различие
digit(ize)|диджит(из)|цифра (цифровой вид)
dimension|димэншн|размерность
direct(ory)|дирэкт(ори)|прямой (справочник)
disable(d)|дизейбл(ид)|выводить из строя (запрещенный)
disaster|дизастэ|авария
discard|дискаад|сбрасывать, увольнять
discharge|дисчаадж|разряд, разряжать
disclaimer|дисклеймэ|отказ, отречение
discrepancy|дискрепэнси|расхождение, противоречия
disc drive|диск дрэйв|дисковод
disp|дисп|диспозиция
dispatch(ing)|диспаач(инг)|диспетчерировать(|ский)
displacement|дисплэйсмент|смещение
display|дисплэй|показывать, выставлять
dispose|диспоуз|размещать, распологать
disipate(ion)|дисипэйт(шн)|рассеивать(|ние)
distinct|дистинкт|ясный, отчетливый
distinguish|дистингвиш|различать, распознавать
distort(ion)|дистоот(шн)|искажать(|ние)
distribute(ion)|дистрибьют(шн)|распределять(|ние)
disturbance|дистээбэнс|возмущение, помехи
diverge(nt)|дайвэдж(энт)|отклоняться, расходящийся
divert|дайвээт|отклонять
divide|дивайд|делить, деление
division|дивижэн|раздел
dlab|длэйб|метка на диске
do|ду|выполнить (цикл)
domain|дэмэйн|область, владение
dope|доуп|заливать, смазка, дурман
dormant|доомэнт|бездействующий
dot cycle|дот сайкл|цикл точки, период
double pression|дабл прэшн|двойная точность
down(time)|даун(тайм)|вниз, спуск (потеря времени)
draw back|дроо бэк|отступать
drifting|дрифтинг|плавающий
drive(r)|драйв(э)|приводить в действие (водитель)
drop(in)|дроп(ин)|спад, опускаться (счит. помехи)
drow|дроо|тяга, тянуть, получать, осадка
drum|драм|барабан
ds name|диснэйм|имя набора данных
due to|дью ту|в результате
dummy|дамми|фиктивный, формальный
dump|дамп|разгрузка (из памяти)
duodecimal|дьюдэсимал|двенадцатиридный
duplex|дьюплекс|дуплексный (2|х сторонний)
duplicate|дьюпликэт|дублировать, копировать
duration|дьюэрэшн|продолжительность
during|дьюринг|в продолжение, в течение
dyadic|дайэдик|двухместный
dynamic|дайнэмик|динамический (в проц. выполн.)
earth|ээф|заземление, почва, нора
easy(ily)|изи(ли)|легкий (свободно)
edge|едж|кромка, лезвие, хребет, точить
edit|эдит|редактировать
educational|эдьюкэйшнэл|образованный, воспитательный
effect(ive)|эфэкт(ив)|производить (исполнительный)
efficiency|эфишэнси|эффективность, кпд
effort|ефэт|усиление, попыика, достижение
e.g.(exemply gratia)|например
either|айзе|каждый, любой, либо, тоже
eject(ion)|ииджект(шн)|испускать (прогон, извержение)
elapse|илапс|протекать, проходить
eleven|punch|илэвн|панч|пробивка в 11|й позиции
eliminate|илиминэйт|устранять, исключать
eloquent|елэквэнт|красноречивый
else|элс|иначе
elsewhere|элс'уэа|в другом месте
embossment|эмбасмэнт|вспученность напр. документа
emerge(ncy)|имэдж(энси)|возникать (экстренный)
emit(ing)|имит(инг)|излучать, испускать (передача)
emphasis|емфэсис|ударение, подчеркивание
empty|емпти|пустой
enable|инэйбл|разрешить, дать возможность
enclose|инклоуз|заключенный во что|либо
encounter|инкаунтэ|сталкиваться
end(ing)|энд(инг)|конец (конечный)
endless loop|эндлэс луп|зацикливание
endow|индау|обеспечивать, давать
endpage|ендпэйдж|коней страницы
endfile|эндфайл|коней файла
enhance(ment)|инханс(мент)|усиливать(ние)
enjoy|инджой|обладать, получать удовольствие
enlarge|инлаадж|увеличивать, распространяться
enough|инаф|довольно
ensure|иншуэ|обеспечивать, гарантировать
entail|интейл|вызывать, влечь за собой
enter(tain)|энтэ(тэин)|войти (принимать)
entiry(efy)|энтая(фай)|сплошной (полнота)
entry|энтри|вход
envelop(e)|энвчлоп(оуп)|завертывать (конверт|10 р. симв.)
enviroment|инвайэромэнт|округление, обстановка
eob|и оуби|конец блока
eof|и оуэф|конец файла
eqvivalence|эквиваленс|эквивалентность
equal(ity)|ииквэл(олити)|равный (равенство)
equalization|иквэлизейшн|компенсация
equate(ion)|иквейт(шн)|равнять (уравнение)
equilibrium|ииквилибриэм|равновесие
equilibrium|ииквилибриэм|равновесие
equipment|иквипмэнт|оборудование
erase|ирейз|стирание, подчищать
erroneous|ироуньюэс|ошибочный
error|эрэ|ошибка, погрешность
escape|скейп|вылетать, утекать, бегство
essential(ly)|исэншэл(и)|существенный(о)
establish(ed)|истаблиш(т)|создавать (установленный)
estimate|эстимэйт|оценка
evaluate(ion)|ивальюэнт(шн)|оценивать (оценка)
evaporate(ion)|ивапэрейт(шн)|выпаривать (испарение)
eve(nt)|эвэ(нт)|канун (событие)
even|евэн|четный, ровный, даже
every|эври|каждый
evidence|евидэнс|данные, свидетельство
evolve|иволв|выделять, разверстывать
evolution|иивэлююшн|развитие, извлечение корня
exact|игзакт|точный
examine|икзэмин|проверить
excess(ive)|иксэс(ив)|избыток (избыточный)
exceed|иксид|превышать
exchange|иксчейндж|обмен
exclusion|иксклююжн|отклонение, исключение
excellent|эксэлэнт|превосходный, отличный
except(ion)|иксэпт(шн)|исключая, кроме (исключение)
excite(ation)|иксайт(эйшн)|возбуждать (возбуждение)
exec(ution)|экзэк(ьюшн)|выполнить(|ние)
exercise|эксэсайз|действовать, применять, упражн.
exert|игзээт|оказывать, прилагать
exhibit(ion)|эксибит(шн)|проявлять (выставка)
exist|эгзист|существовать, находиться
exit|экзит|выход
expansion|икспэншн|расширение
expeci(ed)|икспэкт(ид)|ждать (ожидаемый)
expensive|икспэнсив|дорогой
experience|икспиэриэнс|опыт
expiration|экспирэйшн|истечение
explain|иксплейн|об'яснять
explicit(ly)|иксплисит(ли)|явный (ясно, подробно)
exploit|иксплоит|подвиг
explosive|иксплоузив|взрывчатый
explore(ation)|иксплоо(рэйшн)|исследовать(|ние)
exponent|экспоунент|показывать степени
expose|икспоуз|подвергать действию
expound|икспаунд|излагать, толковать
expression|икспрэйшн|выражение
extend|икстенд|расширять, удлинять
extensive|икстэнсив|обширный, широкий
extent|икстент|участок, область
external|экстеенал|внешний
extract|икстраст|извлекать, выделение
extreme|икстриим|крайний
face|фэис|лицевая сторона, экран
facility|фэсилити|способность, средство, удобство
fail(soft)|фэйл(софт)|хвост (приспособл. к отказам)
failure|фэйлиэ|отказ, сбой
fall|фол|понижение, падать
false|фоолс|ложный, частичный, ложь
family|фэмили|серия, группа
fash(ion)|фаш(н)|беспокоить (вид, манера)
fast(er)|фааст(э)|крепкий, быстрый (быстродействие)
fault(y)|фоолт(и)|ошибка, дефект (неисправный)
faund|фаунд|основывать, учреждать
fd|фиди|определение файла
faesibility|фиизэбилити|осуществимость
feature|фииче|свойство, возможность
feed(back)|фиид(бэк)|питать, подача (обр.связь)
few|фью|мало, несколько
fetch|фэч|выбрать, выборка
field|фиилд|поле
filament|филэмэнт|нить накала, жилка
file(limit)|файл(лимит)|массив, заполнять (гр.массива)
filing|файлинг|регистрация, составление
filler|филэ|заполнитель
find(found)|файнд|найти
fine|фаин|тонкий, приятный, штраф
finish|финиш|финиш, конец
finite|файнаит|конечный
fire|файэ|огонь, зажигать
first|фест|первый
fission|фишн|расщепление, деление клетки
fit|фит|соответствие, подгонка, каприз
five|level|фаив|лэвэл|пятиэлементный
fixed|фикст|фиксированный
flag|флаг|признак, мостить, повиснуть
flush(ed)|флаш(эд)|приток, пылать (пропущенный)
flash(over)|флаш(овэ)|вспышка (перекрытие)
flask|флааск|колба, фляжка
flat|флат|плоский, пологий, квартира
flexibility|флэксибилити|гибкость, уступчивость
flight|флайт|полет, бегство
fling|флинг|бросать, распространять, порыв
flip|flop|флип|флоуп|триггер
float|флоут|плавающий
flow(chart)|флоу(чаат)|поток (блок|схема)
flush|флаш|утапливать, хлынуть, взлетать
flux|флакс|поток, прилив, смена, плавить
foil|фоил|фольга, контраст, подчеркивать
fold(ing)|фоулд(инг)|складывать (уплотненный набор)
follow(ing)|фэлоу(инг)|следовать (следующий)
fond(le)|фондл(л)|нежный (ласкать)
font|фонт|комплект шрифта
foot(ing)|фуут(инг)|фут, пехота, концовка
for|фо|для
forbidden|фэбинд|запрещенный
force|фоос|принуждать, сила
foreground|фоограунд|передний план
foresight|фоосаит|предвидение, мушка (ружья)
form(at)|фом(эт)|выражение (формат)
former|фоомэ|первый
forth|фооф|вперед, впредь
fortuitous|фотьюшэс|случайный
forward|фовэд|вперед
foster|фостэ|поощрять, воспитывать
fourrow|форроу|четырехрядный
fraction|фракшн|дробь, доля, осколок
frame|фреим|группа, рама, корпус, кадр
free|фрии|освобождать
frequency|фриквэнси|частота
fresh|фреш|свежий, пресный, подвыпивший
from|фром|из, от
front|франт|передний, набережная
frustrate|фрастрэит|расстраивать, разрушать (планы)
fulfil|фулфил|исполнять, осуществлять
full|фул|полный
furnace|фээнис|печь
furnish|фээниш|обставлять, представлять
further(more)|фээзэ(мо)|дальше (к тому же, кроме того)
gap|гэп|интервал, промежуток
gain|гэйн|усилие, выигрыш
gang punch|ганг панч|реперфоратор
gasket|гэскит|прокладка
gate|гэйт|затвор, стробировать
gatget|гэдгет|приспособление
gauge|гейдж|прибор, датчик, калибр
gear|гид|зубчатая передача
generalization|дженерализэйшн|обобщение
generate|дженерэйт|вызывать, образовывать
generic key|дженерик кии|общий ключ
get|гет|получать, извлекать (запись)
getter|гэта|поглощать
getmain|гэтмэйн|дать основную
giving|гивинг|давая, передавая
give(n)|гив(эн)|давать (данные)
glass|глаас|стекло
glossary|глоссэри|словарь в конце книги
glove|глоув|перчатка
glow|глоу|накал, свечение
goal|гоул|цель
goback|гоубэк|вернуться
go to|гоу ту|перейти к
govern(ment)|гавэн(мэнт)|управлять (правительство)
grade|грэид|качество
grate|грэит|класс, ранг
gradient|грэдиэнт|уклон
gradually|градьюэли|постепенно
grain|грэйн|зерно
graphics|грэфикс|набор символов
gravity|грэвити|сила тяжести
graze|грэиз|скользить
greater then|грэйтэ зэн|больше чем
grid|грид|растр, сетка
grip|грип|зажим
grit|грит|крошка, растр
grommet|громэт|шайба
ground|граунд|заземление, основа
group|груп|совокупность, группа
grow|гроу|расти
guard|гаад|предохранительное устройство
guest(gest)|гэст|гость, постоялец
guide|гайд|справочник, направлять, вести
guise|гайз|вид, облик, привычка
gun|ган|пушка
guration|гьюрэйшн|вращение
half|хааф|половина
half adjust|хааф эджаст|округлять
halt|халт|останов
han|хэн|радиолюбитель
hard copy|хаад копи|распечатка, дубль, документ
hand(le)|хэнд(л)|рука, стрелка часов (обращаться)
handling|хэндлинг|обработка
handshaking|хэндшэкинг|рукопожатие, обмен сигналами
happen|хэпэн|случаться, происходить
hardcopy|хадкопи|дубль
hardware|хадувэд|аппаратура
harmful|хамфул|вредно
hash total|хэш тоутэл|контрольное суммирование
head(er)|хэд(э)|головка, напор (заголовок)
heat|хиит|теплота, нагревать
heed|хиид|обращать внимание
height|хайт|высота
hence|хэнс|отсюда
herein|хиэрайн|здесь
heuristic|хьюристик|эвристичский
hexadecimal|хексэдэсимал|шестнадцатиричный
hidden|хидн|скрытый
hierarchy|хайэраки|иерархия
high|value|хай|вэлью|наибольшее значение
hit(ch)|хит(ч)|совпадение, удар (подталкивать)
hitherto|хитзэтуу|до сих пор
hold(ing)|холд(инг)|держать (сохранение)
hole(rattern)|хоул(патэн)|дырка (макет перфорации)
home(address)|хоум(эдрэс)|собств. местный, начальн. (адр. дор)
hopper|хопа|подающий карман
host|хоуст|хозяин, множество
housekeeping|хаускипинг|самообслуживание
how|хау|сколько, как, почему
however|хаувэвэ|однако
hum|хам|фон, гудение
hunting|хантинг|преследование
id|ид|идентификатор
identical|айдэнтикал|существенный
identification|айдэнтификэйшэн|раздел идентификации
identify|айдэнтифай|распознавать
idle|айдл|неактивный, холостой
i.e.(id est)|ид ест|то есть
if|иф|если
