Имя программы;Описание;Lang;Gitea;Forum;Wiki
disptest;Программа для проверки матрицы дисплея;asm;http://git.kolibrios.org/KolibriOS/kolibrios/src/branch/main/programs/testing/disptest;http://board.kolibrios.org/viewtopic.php?t=1122;http://wiki.kolibrios.org/wiki/Disptest/ru
docpack;Документация / Блок документов;asm;http://git.kolibrios.org/KolibriOS/kolibrios/src/branch/main/programs/system/docpack;;http://wiki.kolibrios.org/wiki/Docpack/ru
easyshot;Простой скриншотер;c--;http://git.kolibrios.org/KolibriOS/kolibrios/src/branch/main/programs/cmm/misc/easyshot.c;http://board.kolibrios.org/viewtopic.php?t=3695;
end;Программа завершения работы;asm;http://git.kolibrios.org/KolibriOS/kolibrios/src/branch/main/programs/system/end;http://board.kolibrios.org/viewtopic.php?t=2442;http://wiki.kolibrios.org/wiki/End/ru
eskin;Установщик фона и скина при старте системы;asm;http://git.kolibrios.org/KolibriOS/kolibrios/src/branch/main/programs/system/eskin;http://board.kolibrios.org/viewtopic.php?t=2424;
fb2read;Читалка FB2;oberon07;http://git.kolibrios.org/KolibriOS/kolibrios/src/branch/main/programs/other/fb2reader;http://board.kolibrios.org/viewtopic.php?t=3128;
fspeed;Тестирование скорости диска;asm;http://git.kolibrios.org/KolibriOS/kolibrios/src/branch/main/programs/testing/fspeed;http://board.kolibrios.org/viewtopic.php?t=2660;
gmon;Информация о загрузке системы;asm;http://git.kolibrios.org/KolibriOS/kolibrios/src/branch/main/programs/system/gmon;http://board.kolibrios.org/viewtopic.php?t=470;http://wiki.kolibrios.org/wiki/Gmon/ru
graph;Построение графиков;c (msvc);http://git.kolibrios.org/KolibriOS/kolibrios/src/branch/main/programs/other/graph;http://board.kolibrios.org/viewtopic.php?t=1059;http://wiki.kolibrios.org/wiki/Graph/ru
hdd_info;Информация о физических дисках;asm;http://git.kolibrios.org/KolibriOS/kolibrios/src/branch/main/programs/system/hdd_info;http://board.kolibrios.org/viewtopic.php?t=1318;http://wiki.kolibrios.org/wiki/Hdd_info/ru
kbd;Утилита, позволяющая отключить южный мост на материнской плате для экономии электроэнергии;asm;http://git.kolibrios.org/KolibriOS/kolibrios/src/branch/main/programs/testing/kbd;;http://wiki.kolibrios.org/wiki/KBD_(Kolibri_Bus_Disconnect)
kpack;Cистемный упаковщик и распаковщик;asm;http://git.kolibrios.org/KolibriOS/kolibrios/src/branch/main/programs/other/kpack;http://board.kolibrios.org/viewtopic.php?t=355;http://wiki.kolibrios.org/wiki/Kpack/ru
launcher;Запуск программ при старте системы;asm;http://git.kolibrios.org/KolibriOS/kolibrios/src/branch/main/programs/system/launcher;http://board.kolibrios.org/viewtopic.php?t=2454;
loaddrv;Утилита для ручной загрузки драйверов;asm;http://git.kolibrios.org/KolibriOS/kolibrios/src/branch/main/programs/system/loaddrv;;
lod;Программа для настройки ассоциации типа файла и программы для открытия в OpenDial;asm;http://git.kolibrios.org/KolibriOS/kolibrios/src/branch/main/programs/fs/lod;http://board.kolibrios.org/viewtopic.php?t=2486;
madmouse;Делает стороны экрана сквозными для мыши;asm;http://git.kolibrios.org/KolibriOS/kolibrios/src/branch/main/programs/other/madmouse;http://board.kolibrios.org/viewtopic.php?t=1732;
magnify;Увеличительное стекло для экрана;asm;http://git.kolibrios.org/KolibriOS/kolibrios/src/branch/main/programs/system/magnify;;http://wiki.kolibrios.org/wiki/Magnify/ru
mgb;Графический бенчмарк;asm;http://git.kolibrios.org/KolibriOS/kolibrios/src/branch/main/programs/testing/mgb;http://board.kolibrios.org/viewtopic.php?t=670;
mousecfg;Утилита для настройки и проверки мыши;c--;http://git.kolibrios.org/KolibriOS/kolibrios/src/branch/main/programs/cmm/mousecfg;http://board.kolibrios.org/viewtopic.php?t=3095;
mousemul;Эмулятор мыши через клавиатуру;asm;http://git.kolibrios.org/KolibriOS/kolibrios/src/branch/main/programs/system/mousemul;http://board.kolibrios.org/viewtopic.php?t=814;http://wiki.kolibrios.org/wiki/Mousemul/ru
mykey;Запуск програм по комбинации клавиш;asm;http://git.kolibrios.org/KolibriOS/kolibrios/src/branch/main/programs/system/MyKey;http://board.kolibrios.org/viewtopic.php?t=1361;http://wiki.kolibrios.org/wiki/MyKey/ru
notes;Заметки;c--;http://git.kolibrios.org/KolibriOS/kolibrios/src/branch/main/programs/cmm/notes;;http://wiki.kolibrios.org/wiki/Notes/ru
barscfg;Управление таскбаром и доком;c--;http://git.kolibrios.org/KolibriOS/kolibrios/src/branch/main/programs/cmm/barscfg;http://board.kolibrios.org/viewtopic.php?t=3020;
pcidev;Информация о подключённых PCI-устройствах;asm;http://git.kolibrios.org/KolibriOS/kolibrios/src/branch/main/programs/testing/pcidev;http://board.kolibrios.org/viewtopic.php?t=73;http://wiki.kolibrios.org/wiki/PCIDEV/ru
period;Периодическая таблица элементов;asm;http://git.kolibrios.org/KolibriOS/kolibrios/src/branch/main/programs/other/period;http://board.kolibrios.org/viewtopic.php?t=411;http://wiki.kolibrios.org/wiki/Period/ru
pipet;Пипетка для рабочего стола;asm;http://git.kolibrios.org/KolibriOS/kolibrios/src/branch/main/programs/other/pipet;http://board.kolibrios.org/viewtopic.php?t=3546;
rdsave;Сохранение образа системы в IMG;asm;http://git.kolibrios.org/KolibriOS/kolibrios/src/branch/main/programs/system/rdsave;http://board.kolibrios.org/viewtopic.php?t=645;
rtfread;Читалка RTF;asm;http://git.kolibrios.org/KolibriOS/kolibrios/src/branch/main/programs/other/rtfread;http://board.kolibrios.org/viewtopic.php?t=1821;http://wiki.kolibrios.org/wiki/Rtfread/ru
run;Запускалка файлов с параметрами;asm;http://git.kolibrios.org/KolibriOS/kolibrios/src/branch/main/programs/system/run;http://board.kolibrios.org/viewtopic.php?t=554;http://wiki.kolibrios.org/wiki/Run/ru
scrshoot;Скриншотер;asm;http://git.kolibrios.org/KolibriOS/kolibrios/src/branch/main/programs/media/scrshoot;http://board.kolibrios.org/viewtopic.php?t=528;http://wiki.kolibrios.org/wiki/Scrshoot/ru
searchap;Поиск и подключение дополнительной системной папки /kolibrios/;asm;http://git.kolibrios.org/KolibriOS/kolibrios/src/branch/main/programs/system/searchap;http://board.kolibrios.org/viewtopic.php?t=2319;http://wiki.kolibrios.org/wiki/@searchap/ru
setup;Настройка некоторых системных параметров;asm;http://git.kolibrios.org/KolibriOS/kolibrios/src/branch/main/programs/system/setup;http://board.kolibrios.org/viewtopic.php?t=1966;http://wiki.kolibrios.org/wiki/Setup/ru
shell;Консольный интерпретатор команд (шелл);c (gcc);http://git.kolibrios.org/KolibriOS/kolibrios/src/branch/main/programs/system/shell;http://board.kolibrios.org/viewtopic.php?t=1111;http://wiki.kolibrios.org/wiki/Shell/ru
skincfg;Настройка цветов скинов;asm;http://git.kolibrios.org/KolibriOS/kolibrios/src/branch/main/programs/system/skincfg;http://board.kolibrios.org/viewtopic.php?t=1509;http://wiki.kolibrios.org/wiki/Skincfg/ru
sysmon;Мониторинг ресурсов (ОЗУ, CPU, память);c--;http://git.kolibrios.org/KolibriOS/kolibrios/src/branch/main/programs/cmm/sysmon;http://board.kolibrios.org/viewtopic.php?t=3753;
syspanel;Универсальный виджет приложений;c--;http://git.kolibrios.org/KolibriOS/kolibrios/src/branch/main/programs/cmm/misc/software_widget.c;http://board.kolibrios.org/viewtopic.php?t=3001;
table;Редактор электронных таблиц;c (msvc);http://git.kolibrios.org/KolibriOS/kolibrios/src/branch/main/programs/other/table;http://board.kolibrios.org/viewtopic.php?t=1070;http://wiki.kolibrios.org/wiki/Table/ru
terminal;Терминал для работы с COM портами;asm;http://git.kolibrios.org/KolibriOS/kolibrios/src/branch/main/programs/system/terminal;http://board.kolibrios.org/viewtopic.php?t=2563;
test;Тест защиты ядра;asm;http://git.kolibrios.org/KolibriOS/kolibrios/src/branch/main/programs/testing/protection;;http://wiki.kolibrios.org/wiki/Test/ru
tinfo;Информация о потоке выполнения (ПКМ на процессе в cpu);asm;http://git.kolibrios.org/KolibriOS/kolibrios/src/branch/main/programs/system/tinfo;;
tinypad;Текстовый редактор;asm;http://git.kolibrios.org/KolibriOS/kolibrios/src/branch/main/programs/develop/tinypad;http://board.kolibrios.org/viewtopic.php?t=39;http://wiki.kolibrios.org/wiki/Tinypad/ru
tmpdisk;Управление виртуальными RAM дисками /tmp;c--;http://git.kolibrios.org/KolibriOS/kolibrios/src/branch/main/programs/cmm/tmpdisk;http://board.kolibrios.org/viewtopic.php?t=2172;
unz;Распаковщик архивов ZIP и 7Z;asm;http://git.kolibrios.org/KolibriOS/kolibrios/src/branch/main/programs/fs/unz;http://board.kolibrios.org/viewtopic.php?t=3639;
vmode;Изменение разрешения экрана при использовании видеодрайвера;?? (c?);http://git.kolibrios.org/KolibriOS/kolibrios/src/branch/main/data/common/vmode;;http://wiki.kolibrios.org/wiki/VMode
zkey;Виртуальная клавиатура;;http://git.kolibrios.org/KolibriOS/kolibrios/src/branch/main/programs/system/zkey;http://board.kolibrios.org/viewtopic.php?t=1109;http://wiki.kolibrios.org/wiki/Zkey/ru
dbgboard;Доска отладки и сообщений;asm;http://git.kolibrios.org/KolibriOS/kolibrios/src/branch/main/programs/system/dbgboard;;
clipview;Просмотрщик содержимого буфера обмена;c--;http://git.kolibrios.org/KolibriOS/kolibrios/src/branch/main/programs/cmm/clipview;http://board.kolibrios.org/viewtopic.php?t=3396;
diff;Визуальное сравнение двух текстовых файлов;c--;http://git.kolibrios.org/KolibriOS/kolibrios/src/branch/main/programs/cmm/diff;http://board.kolibrios.org/viewtopic.php?t=3436;
fasm;Ассемблер;asm;http://git.kolibrios.org/KolibriOS/kolibrios/src/branch/main/programs/develop/fasm/1.73;http://board.kolibrios.org/viewtopic.php?t=1514;http://wiki.kolibrios.org/wiki/Fasm/ru
h2d2b;Преобразование чисел HEX/DEC/BIN;asm;http://git.kolibrios.org/KolibriOS/kolibrios/src/branch/main/programs/develop/h2d2b;http://board.kolibrios.org/viewtopic.php?t=117;
heed;HEX-редактор;asm;http://git.kolibrios.org/KolibriOS/kolibrios/src/branch/main/programs/develop/heed;http://board.kolibrios.org/viewtopic.php?t=1285;
mstate;Проверка состояния мыши;asm;http://git.kolibrios.org/KolibriOS/kolibrios/src/branch/main/programs/develop/mstate;;
mtdbg;Дебаггер;asm;http://git.kolibrios.org/KolibriOS/kolibrios/src/branch/main/programs/develop/mtdbg;http://board.kolibrios.org/viewtopic.php?t=358;http://wiki.kolibrios.org/wiki/Mtdbg/ru
scancode;Отображение SCAN-кодов клавиш клавиатуры;asm;http://git.kolibrios.org/KolibriOS/kolibrios/src/branch/main/programs/develop/scancode;;
